week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews,synopsis,start_date
2009-09-20,17,16516117.0,After Miss Julie,American Airlines Theatre,98091.0,392100.0,27.93,,3512,740,0.9492,0,5,"This adaptation of August Strindberg's Miss Julie moves the setting to 20th century England following the Labour Party's election victory and depicts the struggle between the young, willful aristocrat Julie and her status-obsessed servant.",
2009-09-20,17,16516117.0,Superior Donuts,Music Box Theatre,187238.0,670188.0,37.74,250.0,4961,1006,0.8219,0,6,"The passive Arthur Przybyszewski owns a decrepit donut shop in the Uptown neighborhood of Chicago. The dynamic Franco Wicks, a black teenager who is his only employee, wants to improve the place.",
2009-09-20,17,16516117.0,The Royal Family,Samuel J. Friedman Theatre,148558.0,473200.0,40.89,,3633,650,0.6987,0,8,"In this thinly veiled parody of the Barrymore family circa 1927, a flamboyant theatrical family must cope with the dumbfounding fact that one of them wishes to marry someone outside of show business.",
2009-09-27,18,17856709.0,Memphis,Sam S. Shubert Theatre,294664.0,941565.0,38.75,250.0,7605,1470,0.8622,0,6,"A 19th-century group of black performers are marooned when their Memphis-bound ship hits a sandbar, so they put on a performance of H.M.S. Pinafore to raise money for the ship's release.",
2009-09-27,18,17856709.0,Wishful Drinking,Studio 54,232375.0,749000.0,42.9,,5417,1004,0.6744,0,8,"Carrie Fisher takes audiences on a rollercoaster ride through her life in Hollywood, two celebrity parents, her iconic role in Star Wars, a marriage to Paul Simon, addiction, recovery, and motherhood.",
2009-10-04,19,17947579.0,Oleanna,John Golden Theatre,283245.0,692560.0,54.63,200.0,5185,790,0.8204,0,8,"A female student charges her male professor with sexual harassment in David Mamet's drama, which examines explosive contemporary issues — the assumption of power, intellectual freedom and sexual politics.",
2009-10-11,20,20663380.0,Finian's Rainbow,St. James Theatre,224754.0,426932.0,45.73,148.0,4915,1701,0.7224,0,4,"A blend of romantic fantasy and social commentary, Finian's Rainbow follows the adventures of an Irishman and his daughter, who hope to strike it rich in America using a pot of gold stolen from a leprechaun.",
2009-10-25,22,20654738.0,Fela!,Eugene O'Neill Theatre,219116.0,561924.0,43.5,200.0,5037,1030,0.815,0,6,"Conceived by Bill T. Jones, Jim Lewis and Stephen Hendel, Fela! explores the life of Fela Anikulapo Kuti, the Nigerian artist, activist, composer and performer.",
2009-10-25,22,20654738.0,In the Next Room,Lyceum Theatre,56201.0,283720.0,32.87,,1710,922,0.4637,0,4,"In the dawning era of electricity, six lonely people seek help from a local doctor with a strange new technology. Despite this scientific advance, what they really need is intimacy.",
2009-11-22,26,19622534.0,Race,Ethel Barrymore Theatre,519352.0,921568.0,72.09,250.0,7204,1058,0.8511,0,8,,
2009-11-29,27,25312362.0,A Little Night Music,Walter Kerr Theatre,754236.0,815395.0,128.73,350.0,5859,931,0.899,0,7,"Sondheim's 1973 musical, based on the Ingmar Bergman film Smiles of a Summer Night, follows aging actress Desiree Armfeldt, her mother Madame Armfeldt, and a series of interwoven love affairs during one eventful weekend in the country.",
2010-01-10,33,18754211.0,Time Stands Still,Cort Theatre,204010.0,541936.0,52.06,,3919,650,0.7537,0,8,"Sidelined by a serious injury while covering the Iraq war, photojournalist Sarah Goodwin questions her personal and professional lives and her place in the world.",
2010-02-14,38,15774093.0,The Miracle Worker,Circle in the Square Theatre,122265.0,266340.0,60.23,200.0,2030,772,0.8765,0,3,"This family drama is based on the true story of a young deaf and blind girl, Helen Keller, and her dedicated teacher Annie Sullivan, who struggles to reach into Helen's isolation and bring her into contact with the outside world.",
