WASTE_ID,SOURCE,ORG_ID,WWTP_NAME,COUNTRY,CNTRY_ISO,LAT_WWTP,LON_WWTP,QUAL_LOC,LAT_OUT,LON_OUT,STATUS,POP_SERVED,QUAL_POP,WASTE_DIS,QUAL_WASTE,LEVEL,QUAL_LEVEL,DF,HYRIV_ID,RIVER_DIS,COAST_10KM,COAST_50KM,DESIGN_CAP,QUAL_CAP
4048,1,1283017,ROANA_LOC_STRADA_CIMITERO,Italy,ITA,45.874,11.465,2,45.848,11.373,Not Reported,16,2,3.167,4,Secondary,1,104910.73,20484248.0,3.846,0,0,20.0,2
4049,1,1283018,ROANA_LOC_VALDASSA,Italy,ITA,45.869,11.477,2,45.848,11.377,Not Reported,125,2,24.746,4,Secondary,1,13387.547,20484248.0,3.834,0,0,200.0,2
4050,1,1283019,ROVOLON_VIA_PONTE_TEZZE_LOC_BASTIA,Italy,ITA,45.374,11.641,2,45.277,11.644,Not Reported,1665,2,329.611,4,Advanced,1,797.605,20498017.0,3.039,0,0,2000.0,2
4051,1,1283020,VILLADOSSOLA,Italy,ITA,46.053,8.272,2,46.023,8.281,Not Reported,5612,2,867.666,1,Secondary,1,7284.199,20480177.0,73.141,0,0,8000.0,2
4052,1,1283021,VILLAFRANCA_D_ASTI,Italy,ITA,44.905,8.051,2,44.877,8.119,Not Reported,3000,2,787.058,1,Secondary,1,934.754,20506442.0,8.506,0,0,3000.0,2
4053,1,1283022,VILLAFRANCA_PIEMONTE,Italy,ITA,44.783,7.511,2,44.798,7.552,Not Reported,4318,2,721.0,1,Secondary,1,2761.126,20508196.0,23.033,0,0,5000.0,2
4054,1,1283023,VILLANOVA_D_ASTI,Italy,ITA,44.928,7.934,2,44.931,7.852,Not Reported,5269,2,897.795,1,Secondary,1,450.229,20505326.0,4.668,0,0,7500.0,2
4055,1,1283024,VILLANOVA_MONDOVI,Italy,ITA,44.349,7.789,2,44.419,7.865,Not Reported,4030,2,5126.885,1,Secondary,1,73.903,20516267.0,4.326,0,0,5000.0,2
4056,1,1283025,LAGO_DI_VIVERONE,Italy,ITA,45.418,7.98,2,45.415,7.923,Not Reported,5000,2,1169.307,1,Secondary,1,7626.884,20494576.0,103.206,0,0,5000.0,2
4057,1,1283026,VOGOGNA_SUD,Italy,ITA,45.999,8.299,2,45.99,8.398,Not Reported,3653,2,410.959,1,Secondary,1,16390.049,20480810.0,77.954,0,0,8000.0,2
4058,1,1283027,VOGOGNA_NORD,Italy,ITA,46.03,8.283,2,46.023,8.281,Not Reported,3664,2,547.945,1,Secondary,1,11533.873,20480177.0,73.141,0,0,8000.0,2
4059,1,1283028,VOLVERA,Italy,ITA,44.949,7.519,2,44.94,7.602,Not Reported,5000,2,362.0,1,Secondary,1,1556.677,20505080.0,6.518,0,0,5000.0,2
4060,1,1283029,ALICE_CASTELLO,Italy,ITA,45.358,8.1,2,45.294,8.181,Not Reported,1776,2,351.585,4,Secondary,1,182.114,20498184.0,0.737,0,0,2500.0,2
4061,1,1283030,BORGHETTO_BORBERA,Italy,ITA,44.724,8.924,2,44.706,8.877,Not Reported,1350,2,563.277,1,Secondary,1,2347.686,20510123.0,15.299,0,1,5100.0,2
4062,1,1283031,FOSSANO_LOC_STURA,Italy,ITA,44.557,7.757,2,44.573,7.773,Not Reported,18950,2,7688.63,1,Secondary,1,390.926,20512955.0,34.699,0,0,30000.0,2
4063,1,1283032,FRABOSA_SOTTANA_PRATO_NEVOSO,Italy,ITA,44.261,7.781,2,44.356,7.802,Not Reported,4676,2,1536.699,1,Secondary,1,185.978,20517376.0,3.29,0,1,8200.0,2
4064,1,1283033,FRUGAROLO,Italy,ITA,44.844,8.673,2,44.927,8.656,Not Reported,3900,2,1460.036,1,Secondary,1,9935.456,20505332.0,167.878,0,1,12000.0,2
4065,1,1283034,LIVORNO_FERRARIS,Italy,ITA,45.273,8.093,2,45.177,8.11,Not Reported,4319,2,1504.537,1,Secondary,1,17285.801,20499871.0,300.991,0,0,5000.0,2
4066,1,1283035,PAESANA,Italy,ITA,44.679,7.282,2,44.673,7.298,Not Reported,2674,2,1191.249,1,Secondary,1,250.354,20511283.0,3.438,0,0,3000.0,2
4067,1,1283037,VOLVERA_GERBOLE_NUOVO,Italy,ITA,44.973,7.524,2,44.94,7.602,Not Reported,3200,2,1782.0,1,Secondary,1,317.024,20505080.0,6.518,0,0,3200.0,2
4068,1,1283038,FORNO_DI_ZOLDO_SOCCAMPO,Italy,ITA,46.344,12.184,2,46.269,12.256,Not Reported,1530,2,302.886,4,Advanced,1,1363.954,20474236.0,4.778,0,0,3900.0,2
4069,1,1283039,FOSSALTA_DI_PIAVE_CADORNA,Italy,ITA,45.642,12.5,2,45.665,12.51,Not Reported,3186,2,630.715,4,Secondary,1,12517.541,20489236.0,91.37,0,1,3600.0,2
