set_num,name,year,theme_id,num_parts,img_url,inventory_id,quantity,id,version,fig_num,name_num_parts_r,img_url_num_parts_r,_art_year
10216-1,Winter Village Bakery,2010,227,687,https://cdn.rebrickable.com/media/sets/10216-1.jpg,,,2996,1,,,,2010
10217-1,Diagon Alley,2011,246,2032,https://cdn.rebrickable.com/media/sets/10217-1.jpg,,,14029,1,,,,2011
10218-1,Pet Shop,2011,155,2034,https://cdn.rebrickable.com/media/sets/10218-1.jpg,,,14858,1,,,,2011
10219-1,Maersk Container Train,2011,673,1233,https://cdn.rebrickable.com/media/sets/10219-1.jpg,,,8986,1,,,,2011
10220-1,Volkswagen T1 Camper Van,2011,673,1332,https://cdn.rebrickable.com/media/sets/10220-1.jpg,,,15963,1,,,,2011
10221-1,Super Star Destroyer,2011,171,3152,https://cdn.rebrickable.com/media/sets/10221-1.jpg,,,15131,1,,,,2011
10222-1,Winter Village Post Office,2011,227,822,https://cdn.rebrickable.com/media/sets/10222-1.jpg,,,330,1,,,,2011
10223-1,Kingdoms Joust,2012,196,1575,https://cdn.rebrickable.com/media/sets/10223-1.jpg,,,15599,1,,,,2012
10224-1,Town Hall,2012,155,2772,https://cdn.rebrickable.com/media/sets/10224-1.jpg,,,7420,1,,,,2012
10225-1,R2-D2,2012,171,2127,https://cdn.rebrickable.com/media/sets/10225-1.jpg,,,4094,1,,,,2012
10226-1,Sopwith Camel,2012,673,879,https://cdn.rebrickable.com/media/sets/10226-1.jpg,,,1119,1,,,,2012
10227-1,B-wing Starfighter,2012,171,1487,https://cdn.rebrickable.com/media/sets/10227-1.jpg,,,1189,1,,,,2012
10228-1,Haunted House,2012,558,2064,https://cdn.rebrickable.com/media/sets/10228-1.jpg,,,505,1,,,,2012
10229-1,Winter Village Cottage,2012,227,1492,https://cdn.rebrickable.com/media/sets/10229-1.jpg,,,15476,1,,,,2012
102-3,Super Value Set,1969,411,102,https://cdn.rebrickable.com/media/sets/102-3.jpg,,,25445,1,,,,1969
10230-1,Mini Modulars,2012,156,1356,https://cdn.rebrickable.com/media/sets/10230-1.jpg,,,12633,1,,,,2012
10231-1,Shuttle Expedition,2011,673,1230,https://cdn.rebrickable.com/media/sets/10231-1.jpg,,,7748,1,,,,2011
10232-1,Palace Cinema,2013,155,2194,https://cdn.rebrickable.com/media/sets/10232-1.jpg,,,11999,1,,,,2013
10233-1,Horizon Express,2013,673,1351,https://cdn.rebrickable.com/media/sets/10233-1.jpg,87.0,1.0,1770,1,,,,2013
