gutenberg_id,subject_type,subject
13940,lcsh,China -- Politics and government
67546,lcc,PR
47491,lcsh,Automobiles -- Juvenile fiction
69815,lcsh,Admirals -- Great Britain -- Biography
11030,lcsh,Enslaved persons -- United States -- Social conditions
61104,lcsh,George Washington Carver National Monument (Mo.) -- Problems and exercises -- Juvenile literature
38275,lcsh,"Walpole, Robert, Earl of Orford, 1676-1745 -- Poetry"
46370,lcsh,Flags -- Great Britain
33221,lcsh,Siblings -- Juvenile fiction
54575,lcc,PR
16411,lcc,PH
42514,lcsh,Bible. English -- History
39882,lcc,E186
41973,lcsh,Yachts
2771,lcsh,Upper class -- England -- Fiction
61396,lcsh,Vegetarianism
36461,lcsh,Soldiers -- Great Britain -- Biography
24608,lcsh,"Children's stories, American"
41724,lcc,PT
11237,lcc,PZ
53804,lcsh,Male friendship -- Fiction
43508,lcsh,Mothers and daughters -- Fiction
58114,lcc,PR
63815,lcsh,Young men -- Conduct of life -- Juvenile fiction
14104,lcsh,United States -- Politics and government
59678,lcsh,Urban women
67989,lcsh,Boats and boating -- Juvenile fiction
64165,lcsh,Alsace (France) -- Description and travel
43111,lcsh,Orphans -- Fiction
14374,lcc,DA
18717,lcc,PR
39383,lcc,PS
54229,lcsh,"France -- History -- Louis XVI, 1774-1793 -- Fiction"
5701,lcc,PZ
11291,lcsh,Stone age
7999,lcsh,Bible
69075,lcc,PZ
26343,lcc,PT
28410,lcc,AP
23557,lcsh,Short stories
43886,lcsh,Christian pilgrims and pilgrimages -- Juvenile fiction
11377,lcsh,Trees -- Fiction
63164,lcc,PS
57841,lcsh,Frontier and pioneer life -- Mexico -- Fiction
52685,lcsh,United States -- Description and travel
56191,lcsh,"Muller, Philomena, -1881"
67165,lcsh,Colorado -- Fiction
20551,lcsh,Science fiction
38262,lcsh,Youth -- Conduct of life -- Juvenile fiction
50241,lcsh,Fiction
30959,lcsh,"Eliot, George, 1819-1880 -- Exhibitions"
53187,lcsh,"Children's periodicals, American"
47631,lcsh,Arabs -- Folklore
