set_num,name,year,theme_id,num_parts,img_url,inventory_id,quantity,id,version,_art_year
414-6,"Windows Parts Pack, White (System)",1966,371,10,https://cdn.rebrickable.com/media/sets/414-6.jpg,,,3228,1,1966
4146-1,Extra Large Freestyle Bucket,1995,399,410,https://cdn.rebrickable.com/media/sets/4146-1.jpg,,,13618,1,1995
4147-1,Freestyle Elefant Villa,1996,399,191,https://cdn.rebrickable.com/media/sets/4147-1.jpg,,,3146,1,1996
4148-1,Large Clearpack,1997,399,230,https://cdn.rebrickable.com/media/sets/4148-1.jpg,,,101716,1,1997
41485-1,Finn,2017,610,91,https://cdn.rebrickable.com/media/sets/41485-1.jpg,,,20632,1,2017
41486-1,Captain Phasma,2017,610,127,https://cdn.rebrickable.com/media/sets/41486-1.jpg,,,20633,1,2017
41487-1,Lloyd,2017,610,102,https://cdn.rebrickable.com/media/sets/41487-1.jpg,,,20158,1,2017
41488-1,Master Wu,2017,610,89,https://cdn.rebrickable.com/media/sets/41488-1.jpg,,,20159,1,2017
41489-1,Rey & Kylo Ren,2017,610,250,https://cdn.rebrickable.com/media/sets/41489-1.jpg,,,21867,1,2017
41490-1,Superman & Wonder Woman,2016,610,210,https://cdn.rebrickable.com/media/sets/41490-1.jpg,,,31685,1,2016
41491-1,Batman & The Joker,2016,610,206,https://cdn.rebrickable.com/media/sets/41491-1.jpg,,,18747,1,2016
41492-1,Iron Man & Captain America,2016,610,174,https://cdn.rebrickable.com/media/sets/41492-1.jpg,,,17965,1,2016
41493-1,Black Panther & Dr. Strange,2016,610,167,https://cdn.rebrickable.com/media/sets/41493-1.jpg,,,17966,1,2016
41496-1,Supergirl & Martian Manhunter,2017,610,231,https://cdn.rebrickable.com/media/sets/41496-1.jpg,,,19346,1,2017
41497-1,Spider-Man & Venom,2017,610,144,https://cdn.rebrickable.com/media/sets/41497-1.jpg,,,19387,1,2017
41498-1,Boba Fett & Han Solo in Carbonite,2017,610,329,https://cdn.rebrickable.com/media/sets/41498-1.jpg,,,34671,1,2017
41500-1,Flain,2014,580,58,https://cdn.rebrickable.com/media/sets/41500-1.jpg,91113.0,4.0,10951,1,2014
4150-1,Freestyle Building Set,1995,399,91,https://cdn.rebrickable.com/media/sets/4150-1.jpg,,,4482,1,1995
41501-1,Vulk,2014,580,69,https://cdn.rebrickable.com/media/sets/41501-1.jpg,91113.0,4.0,15179,1,2014
41502-1,Zorch,2014,580,45,https://cdn.rebrickable.com/media/sets/41502-1.jpg,91113.0,4.0,10702,1,2014
41503-1,Krader,2014,580,66,https://cdn.rebrickable.com/media/sets/41503-1.jpg,91113.0,3.0,16182,1,2014
41504-1,Seismo,2014,580,50,https://cdn.rebrickable.com/media/sets/41504-1.jpg,91113.0,3.0,3649,1,2014
41505-1,Shuff,2014,580,51,https://cdn.rebrickable.com/media/sets/41505-1.jpg,91113.0,3.0,6444,1,2014
41506-1,Teslo,2014,580,54,https://cdn.rebrickable.com/media/sets/41506-1.jpg,91113.0,3.0,4049,1,2014
41507-1,Zaptor,2014,580,61,https://cdn.rebrickable.com/media/sets/41507-1.jpg,91113.0,3.0,986,1,2014
41508-1,Volectro,2014,580,70,https://cdn.rebrickable.com/media/sets/41508-1.jpg,91113.0,3.0,3618,1,2014
41509-1,Slumbo,2014,580,61,https://cdn.rebrickable.com/media/sets/41509-1.jpg,91114.0,4.0,8524,1,2014
415-1,5 Sixteens and 4 Twenties (System),1966,371,9,https://cdn.rebrickable.com/media/sets/415-1.jpg,,,6379,1,1966
41510-1,Lunk,2014,580,51,https://cdn.rebrickable.com/media/sets/41510-1.jpg,91114.0,4.0,11776,1,2014
4151-1,Girl's Freestyle Set,1995,399,274,https://cdn.rebrickable.com/media/sets/4151-1.jpg,,,10026,1,1995
41511-1,Flurr,2014,580,46,https://cdn.rebrickable.com/media/sets/41511-1.jpg,91114.0,4.0,10371,1,2014
41512-1,Chomly,2014,580,68,https://cdn.rebrickable.com/media/sets/41512-1.jpg,91114.0,3.0,6894,1,2014
4151270-1,Star Wars Co-Pack,2000,158,0,https://cdn.rebrickable.com/media/sets/4151270-1.jpg,,,12669,1,2000
41513-1,Gobba,2014,580,57,https://cdn.rebrickable.com/media/sets/41513-1.jpg,91114.0,3.0,10150,1,2014
41514-1,Jawg,2014,580,61,https://cdn.rebrickable.com/media/sets/41514-1.jpg,91114.0,3.0,862,1,2014
41515-1,Kraw,2014,580,70,https://cdn.rebrickable.com/media/sets/41515-1.jpg,91114.0,3.0,9916,1,2014
41516-1,Tentro,2014,580,69,https://cdn.rebrickable.com/media/sets/41516-1.jpg,91114.0,3.0,3707,1,2014
41517-1,Balk,2014,580,68,https://cdn.rebrickable.com/media/sets/41517-1.jpg,91114.0,3.0,14030,1,2014
41518-1,Glomp,2014,580,64,https://cdn.rebrickable.com/media/sets/41518-1.jpg,91115.0,4.0,3107,1,2014
4151847-1,Bionicle Trading Card Game 1: Gali & Pohatu,2001,324,12,https://cdn.rebrickable.com/media/sets/4151847-1.jpg,,,21519,1,2001
4151848-1,Bionicle Trading Card Game 1: Tahu & Kopaka,2001,324,12,https://cdn.rebrickable.com/media/sets/4151848-1.jpg,,,21520,1,2001
4151849-1,Bionicle Trading Card Game 1: Onua & Lewa,2001,324,12,https://cdn.rebrickable.com/media/sets/4151849-1.jpg,,,21521,1,2001
