camis,dba,boro,zipcode,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,grade,inspection_type,_art_year
50043112,ZUCCHERO E POMODORI,MANHATTAN,10021.0,Italian,08/21/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,Cycle Inspection / Initial Inspection,2018
40535136,DON PACO  LOPEZ PANDERIA,BROOKLYN,,Spanish,11/17/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10.0,A,Cycle Inspection / Re-inspection,2016
40673117,10TH AVENUE PIZZA & CAFE,MANHATTAN,10001.0,Pizza,03/21/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,Cycle Inspection / Initial Inspection,2016
50063056,MASPETH CAFETERIA,QUEENS,11378.0,American,05/18/2017,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,72.0,,Pre-permit (Operational) / Initial Inspection,2017
41639473,SERAFINA,MANHATTAN,10024.0,American,07/24/2017,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,22.0,,Cycle Inspection / Initial Inspection,2017
50035784,BIG WONG RESTAURANT,MANHATTAN,10013.0,Chinese,06/17/2016,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,30.0,C,Cycle Inspection / Re-inspection,2016
50039666,NEW SZECHUAN HOUSE,QUEENS,11377.0,Chinese,11/29/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13.0,A,Cycle Inspection / Re-inspection,2017
50066399,SERAFINA TRIBECA,MANHATTAN,10013.0,Italian,10/29/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,25.0,,Cycle Inspection / Initial Inspection,2018
41627819,JACOB'S PICKLES,MANHATTAN,10024.0,American,04/18/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,31.0,,Cycle Inspection / Initial Inspection,2018
50007093,PHILIPPE NYC I,MANHATTAN,10022.0,American,09/08/2015,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,11.0,A,Cycle Inspection / Initial Inspection,2015
40572960,RIO DE LA PLATA BAKERY,QUEENS,11373.0,Bakery,09/06/2018,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,40.0,,Cycle Inspection / Initial Inspection,2018
50043715,PAT LAFRIEDA MEAT PURVEYORS,MANHATTAN,10121.0,Sandwiches,08/30/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,9.0,A,Cycle Inspection / Re-inspection,2016
41704440,12 CORAZONES RESTAURANT & BAR,QUEENS,11372.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/11/2017,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,22.0,,Cycle Inspection / Initial Inspection,2017
41605054,TOMPKINS SQUARE BAGELS,MANHATTAN,10009.0,American,12/04/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10.0,A,Cycle Inspection / Re-inspection,2018
41653951,MARIA'S PIZZERIA RESTAURANT,BROOKLYN,11230.0,Pizza,08/16/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,Cycle Inspection / Re-inspection,2017
