LEAID,LEA_NAME,ST,d_Locale_Txt,SCHOOL_YEAR,AIAN,Asian,Black,Hispanic,White,Multi,Total,diverse,variance,int_group
1907050,chariton comm school district,IA,town-remote,1994-1995,0.0,0.578871201157742,0.289435600578871,0.578871201157742,98.5528219971056,,1382,Extremely undiverse,,
1907050,chariton comm school district,IA,town-remote,2016-2017,0.23961661341853,0.638977635782748,0.399361022364217,2.23642172523962,94.9680511182109,1.51757188498403,1252,Extremely undiverse,,
1907080,charles city comm school district,IA,town-remote,1994-1995,0.148957298907646,0.99304865938431,0.347567030784508,1.43992055610725,97.0705064548163,,2014,Extremely undiverse,,
1907080,charles city comm school district,IA,town-remote,2016-2017,0.195185426154847,2.60247234873129,10.5400130123617,6.11581001951854,77.6187378009109,2.92778139232271,1537,Undiverse,,
1907110,charter oak-ute comm school district,IA,rural-remote,1994-1995,0.0,0.0,0.0,0.5420054200542,99.4579945799458,,369,Extremely undiverse,,
1907110,charter oak-ute comm school district,IA,rural-remote,2016-2017,0.0,0.0,2.05479452054794,4.79452054794521,92.1232876712329,1.02739726027397,292,Extremely undiverse,,
1907170,cherokee comm school district,IA,rural-fringe,1994-1995,0.4062288422478,0.3385240352065,1.4218009478673,0.947867298578199,96.8855788761002,,1477,Extremely undiverse,,
1907170,cherokee comm school district,IA,rural-fringe,2016-2017,0.0,1.1142061281337,1.39275766016713,6.03528319405757,87.9294336118849,3.52831940575673,1077,Undiverse,,
1907330,clarence-lowden comm school di,IA,,1994-1995,0.0,0.0,0.636942675159236,0.0,99.3630573248408,,471,Extremely undiverse,,
1907350,clarinda comm school district,IA,town-remote,1994-1995,0.259965337954939,1.1265164644714,0.433275563258232,0.433275563258232,97.7469670710572,,1154,Extremely undiverse,,
1907350,clarinda comm school district,IA,town-remote,2016-2017,0.279850746268657,1.67910447761194,1.86567164179104,3.73134328358209,88.9925373134328,3.45149253731343,1072,Undiverse,,
1907380,clarion-goldfield-dows comm school district,IA,town-remote,1994-1995,0.0,0.305188199389624,0.0,2.13631739572737,97.558494404883,,983,Extremely undiverse,,
1907380,clarion-goldfield-dows comm school district,IA,town-remote,2016-2017,0.195503421309873,0.684261974584555,0.293255131964809,32.355816226784,65.1026392961877,1.36852394916911,1023,Diverse,,
1907410,clarke comm school district,IA,town-distant,1994-1995,0.210526315789474,0.771929824561404,0.350877192982456,0.210526315789474,98.4561403508772,,1425,Extremely undiverse,,
1907410,clarke comm school district,IA,town-distant,2016-2017,0.213675213675214,1.13960113960114,1.13960113960114,30.5555555555556,64.8148148148148,2.13675213675214,1404,Diverse,,
1907440,clarksville comm school district,IA,rural-distant,1994-1995,0.238095238095238,2.14285714285714,0.238095238095238,0.0,97.3809523809524,,420,Extremely undiverse,,
