year,state,county_name,urbanicity,region,division,pop_category,population,pretrial_population,_art_year
1987,NM,Valencia County,small/mid,West,Mountain,Male,13097.0,5.4,1987
1980,TX,Wood County,rural,South,West South Central,Total,14769.0,17.69231,1980
1993,FL,Dixie County,rural,South,South Atlantic,Total,7379.0,12.0,1993
2001,VA,Westmoreland County,rural,South,South Atlantic,Black,3290.0,,2001
1996,AR,Lincoln County,small/mid,South,West South Central,Black,3394.0,,1996
1973,TX,Red River County,rural,South,West South Central,Native American,,,1973
1978,IL,Grundy County,suburban,Midwest,East North Central,Female,9702.0,0.0,1978
1990,KY,Boyle County,rural,South,East South Central,Female,8353.0,10.28571,1990
1989,WA,Clallam County,rural,West,Pacific,Male,16608.0,26.4,1989
1975,IA,Ida County,rural,Midwest,West North Central,Total,5428.0,0.0,1975
1985,NM,San Miguel County,rural,West,Mountain,Latino,,,1985
2002,CO,Conejos County,rural,West,Mountain,Other,,,2002
1970,IL,Jasper County,rural,Midwest,East North Central,Latino,,,1970
1999,AR,Sebastian County,small/mid,South,West South Central,Total,73919.0,142.0,1999
2005,CA,Placer County,suburban,West,Pacific,Male,100886.0,247.0,2005
1992,AL,Monroe County,rural,South,East South Central,Male,7375.0,8.2,1992
2012,MN,Clay County,small/mid,Midwest,West North Central,Total,41113.0,40.125,2012
1975,MO,Saline County,rural,Midwest,West North Central,Other,40.0,,1975
1972,TX,Brazoria County,suburban,South,West South Central,Latino,,,1972
2011,VA,Charlotte County,rural,South,South Atlantic,Asian,20.0,,2011
1994,IL,Lee County,rural,Midwest,East North Central,Latino,563.0,,1994
2006,TX,Smith County,small/mid,South,West South Central,Total,126922.0,379.0,2006
1977,OK,Bryan County,rural,South,West South Central,Total,17726.0,4.875,1977
1973,AZ,Cochise County,small/mid,West,Mountain,Other,761.0,,1973
1989,MS,George County,rural,South,East South Central,Other,35.0,,1989
2001,IA,Wright County,rural,Midwest,West North Central,Total,8388.0,5.333333,2001
1977,NY,Ulster County,small/mid,Northeast,Middle Atlantic,Female,51004.0,0.0,1977
1989,AR,Arkansas County,rural,South,West South Central,Native American,,,1989
2008,IN,Franklin County,rural,Midwest,East North Central,Native American,27.0,,2008
2005,IL,De Witt County,small/mid,Midwest,East North Central,Native American,15.0,,2005
2009,IA,Marshall County,rural,Midwest,West North Central,White,20400.0,,2009
2011,KY,Logan County,rural,South,East South Central,Native American,35.0,,2011
1976,MD,Kent County,rural,South,South Atlantic,Female,5571.0,0.0,1976
1987,GA,Burke County,small/mid,South,South Atlantic,Male,6029.0,13.6,1987
1983,OK,Jackson County,rural,South,West South Central,Female,9800.0,1.866667,1983
1980,AL,Talladega County,rural,South,East South Central,Male,22150.0,20.71428,1980
2014,IL,Jersey County,suburban,Midwest,East North Central,White,14297.0,,2014
1984,KY,Simpson County,rural,South,East South Central,Female,4805.0,0.0,1984
1990,AR,Cross County,rural,South,West South Central,White,9126.0,,1990
1977,MN,Freeborn County,rural,Midwest,West North Central,White,22902.0,,1977
1974,KY,Logan County,rural,South,East South Central,Asian,,,1974
2016,PA,Somerset County,rural,Northeast,Middle Atlantic,Other,,,2016
1976,WI,Sauk County,rural,Midwest,West North Central,Native American,,,1976
2015,NM,Quay County,rural,West,Mountain,Asian,55.0,,2015
