year,state,county_name,urbanicity,region,division,pop_category,population,pretrial_population,_art_year
1996,NY,Jefferson County,small/mid,Northeast,Middle Atlantic,Native American,354.0,,1996
1974,WY,Johnson County,rural,West,Mountain,Native American,,,1974
1978,FL,Glades County,rural,South,South Atlantic,White,2678.0,,1978
2015,ND,Nelson County,rural,Midwest,West North Central,White,1619.0,,2015
1994,OH,Williams County,rural,Midwest,East North Central,Black,51.0,,1994
2016,SC,Oconee County,rural,South,South Atlantic,Female,23299.0,,2016
1986,IL,Coles County,rural,Midwest,East North Central,Total,36176.0,13.0,1986
1981,AR,Polk County,rural,South,West South Central,White,10136.0,,1981
1974,TX,Motley County,rural,South,West South Central,Asian,,,1974
1994,FL,Walton County,small/mid,South,South Atlantic,Male,10954.0,73.16666,1994
2009,IL,Jefferson County,rural,Midwest,East North Central,White,22265.0,,2009
2006,FL,Citrus County,small/mid,South,South Atlantic,White,70765.0,,2006
2008,IL,Union County,rural,Midwest,East North Central,Latino,476.0,,2008
2003,MN,Lake of the Woods County,rural,Midwest,West North Central,Latino,20.0,,2003
1976,NC,Mecklenburg County,urban,South,South Atlantic,Total,255757.0,171.0,1976
2008,AL,Coffee County,rural,South,East South Central,Other,,,2008
2000,MO,Ray County,suburban,Midwest,West North Central,White,14635.0,,2000
1972,IA,Woodbury County,small/mid,Midwest,West North Central,Asian,,,1972
2008,IA,Van Buren County,rural,Midwest,West North Central,Native American,8.0,,2008
1990,OK,Garvin County,rural,South,West South Central,Total,15694.0,10.0,1990
2008,IL,Livingston County,rural,Midwest,East North Central,Total,25761.0,67.5,2008
1986,MN,Beltrami County,rural,Midwest,West North Central,Other,2833.0,,1986
1982,NM,Socorro County,rural,West,Mountain,Black,43.0,,1982
1997,KY,Breathitt County,rural,South,East South Central,Female,5425.0,0.0,1997
1980,ND,Morton County,small/mid,Midwest,West North Central,Male,8129.0,0.0,1980
1978,MS,Jackson County,small/mid,South,East South Central,Other,500.0,,1978
1997,VA,Brunswick County,rural,South,South Atlantic,Total,11100.0,12.66667,1997
2007,OK,Grady County,suburban,South,West South Central,Latino,1378.0,,2007
1976,VA,Hopewell city,suburban,South,South Atlantic,Total,15735.0,16.11506,1976
1984,KY,Pendleton County,suburban,South,East South Central,Male,3419.0,6.4,1984
2007,ND,Oliver County,small/mid,Midwest,West North Central,Male,639.0,0.0,2007
1998,MT,Roosevelt County,rural,West,Mountain,Latino,41.0,,1998
2008,KY,Wayne County,rural,South,East South Central,Black,207.0,,2008
1989,MO,Daviess County,rural,Midwest,West North Central,Asian,,,1989
2005,IL,Douglas County,rural,Midwest,East North Central,White,11811.0,,2005
2013,OH,Lawrence County,small/mid,Midwest,East North Central,Native American,92.0,,2013
2009,VA,Charlottesville city,small/mid,South,South Atlantic,Asian,2612.0,,2009
2015,NM,San Miguel County,rural,West,Mountain,White,3271.0,,2015
1970,AL,Winston County,rural,South,East South Central,Other,2.0,,1970
1982,IL,Stephenson County,rural,Midwest,East North Central,Female,16129.0,0.0,1982
2015,GA,Bacon County,rural,South,South Atlantic,Male,3639.0,47.0,2015
2007,ND,Benson County,rural,Midwest,West North Central,Native American,2043.0,,2007
2010,VA,Westmoreland County,rural,South,South Atlantic,Black,3227.0,,2010
2007,SD,Clay County,rural,Midwest,West North Central,Female,5288.0,0.0,2007
2006,WA,Ferry County,rural,West,Pacific,White,3972.0,,2006
1981,TX,Roberts County,rural,South,West South Central,Male,350.0,0.0,1981
2000,GA,Wheeler County,rural,South,South Atlantic,White,2583.0,,2000
1973,NC,Montgomery County,rural,South,South Atlantic,Native American,,,1973
2010,GA,Walton County,suburban,South,South Atlantic,Other,,,2010
2015,WV,Wetzel County,rural,South,South Atlantic,White,9782.0,,2015
2002,AR,Garland County,small/mid,South,West South Central,Native American,461.0,,2002
1971,KY,Pulaski County,rural,South,East South Central,Total,22262.0,10.75,1971
1979,WV,Wetzel County,rural,South,South Atlantic,Male,6822.0,3.0,1979
2004,TX,Dimmit County,rural,South,West South Central,Asian,42.0,,2004
1995,OH,Hancock County,rural,Midwest,East North Central,Native American,74.0,,1995
1979,SD,Brookings County,rural,Midwest,West North Central,Native American,,,1979
2013,OK,Osage County,small/mid,South,West South Central,Latino,887.0,,2013
1973,MO,Wright County,rural,Midwest,West North Central,Native American,,,1973
2007,PA,Adams County,small/mid,Northeast,Middle Atlantic,Female,33671.0,7.0,2007
1978,VA,Roanoke city,small/mid,South,South Atlantic,Asian,,,1978
2009,MT,Pondera County,rural,West,Mountain,Native American,620.0,,2009
1980,NE,Thurston County,rural,Midwest,West North Central,Total,4239.0,8.6,1980
2000,PA,Schuylkill County,rural,Northeast,Middle Atlantic,Male,49888.0,56.42857,2000
1970,KY,Leslie County,rural,South,East South Central,Female,3372.0,0.0,1970
1986,IL,Whiteside County,rural,Midwest,East North Central,Total,38943.0,32.4,1986
2002,KS,Lane County,rural,Midwest,West North Central,Black,1.0,,2002
2009,MD,Cecil County,suburban,South,South Atlantic,Male,34063.0,101.0,2009
1976,OH,Carroll County,small/mid,Midwest,East North Central,Black,75.0,,1976
1977,OH,Medina County,suburban,Midwest,East North Central,Total,66541.0,17.25,1977
2009,AL,Mobile County,small/mid,South,East South Central,Other,,,2009
2002,WA,Klickitat County,rural,West,Pacific,Male,6287.0,30.5,2002
1983,MO,Webster County,small/mid,Midwest,West North Central,Male,6679.0,6.5,1983
2009,IN,Monroe County,small/mid,Midwest,East North Central,Male,52322.0,137.0,2009
1983,SD,Miner County,rural,Midwest,West North Central,Female,967.0,0.0,1983
1998,WV,Monroe County,rural,South,South Atlantic,Female,5186.0,1.257282,1998
1998,MS,Franklin County,rural,South,East South Central,Total,5300.0,4.0,1998
2004,CO,Alamosa County,rural,West,Mountain,Total,10370.0,61.0,2004
1988,AL,Chambers County,rural,South,East South Central,White,15018.0,,1988
1989,GA,Macon County,rural,South,South Atlantic,Black,4612.0,,1989
1996,OK,Nowata County,rural,South,West South Central,Native American,1043.0,,1996
2002,FL,Pinellas County,urban,South,South Atlantic,White,470829.0,,2002
1983,IL,Henry County,small/mid,Midwest,East North Central,Male,17412.0,8.0,1983
1972,WI,Adams County,rural,Midwest,West North Central,Male,2976.0,3.75,1972
2010,NE,Garfield County,rural,Midwest,West North Central,Female,566.0,0.0,2010
2007,MO,McDonald County,small/mid,Midwest,West North Central,White,12522.0,,2007
1983,MN,Pennington County,rural,Midwest,West North Central,Male,4428.0,2.0,1983
2002,LA,Calcasieu Parish,small/mid,South,West South Central,Asian,1076.0,,2002
2003,WA,Snohomish County,suburban,West,Pacific,Other,,,2003
1999,IN,Cass County,rural,Midwest,East North Central,Latino,1591.0,,1999
1977,IA,Monroe County,rural,Midwest,West North Central,Male,2779.0,4.444445,1977
2013,ID,Ada County,small/mid,West,Mountain,Black,3520.0,,2013
2014,KS,Republic County,rural,Midwest,West North Central,Female,1311.0,0.0,2014
2009,SC,Clarendon County,rural,South,South Atlantic,Asian,166.0,,2009
1978,MA,Suffolk County,urban,Northeast,New England,Total,454114.0,210.0,1978
1981,IN,Vanderburgh County,small/mid,Midwest,East North Central,Native American,,,1981
1980,NC,Alleghany County,rural,South,South Atlantic,Asian,,,1980
1997,LA,Winn Parish,rural,South,West South Central,Asian,8.0,,1997
2005,WI,Oneida County,rural,Midwest,West North Central,Other,,,2005
1996,OH,Clark County,small/mid,Midwest,East North Central,Native American,278.0,,1996
2005,KS,Mitchell County,rural,Midwest,West North Central,Native American,14.0,,2005
1988,MS,Quitman County,rural,South,East South Central,White,2824.0,,1988
1994,AL,Franklin County,rural,South,East South Central,Female,9760.0,0.0,1994
2016,WA,Wahkiakum County,rural,West,Pacific,Latino,112.0,,2016
1998,AZ,Cochise County,small/mid,West,Mountain,Other,,,1998
2012,VA,Chesapeake city,suburban,South,South Atlantic,Other,,,2012
2006,IN,Miami County,rural,Midwest,East North Central,Native American,260.0,,2006
1991,WI,Vilas County,rural,Midwest,West North Central,Total,10473.0,4.8,1991
1984,ND,Burleigh County,small/mid,Midwest,West North Central,Total,39295.0,7.568268,1984
2002,ME,Knox County,rural,Northeast,New England,Black,87.0,,2002
1970,NC,Bladen County,rural,South,South Atlantic,Black,5754.0,,1970
1976,TX,Nolan County,rural,South,West South Central,White,9329.0,,1976
1975,AL,Lauderdale County,small/mid,South,East South Central,Latino,,,1975
2002,NY,Broome County,small/mid,Northeast,Middle Atlantic,Latino,3067.0,,2002
1990,IL,Adams County,rural,Midwest,East North Central,Total,40250.0,38.4,1990
2015,NY,Chemung County,small/mid,Northeast,Middle Atlantic,Female,27908.0,12.0,2015
1984,WI,Milwaukee County,urban,Midwest,West North Central,Asian,,,1984
1978,AL,Marshall County,rural,South,East South Central,Native American,,,1978
1977,LA,Acadia Parish,small/mid,South,West South Central,Asian,,,1977
2002,TN,Decatur County,rural,South,East South Central,Male,3733.0,4.5,2002
1998,MO,Lincoln County,suburban,Midwest,West North Central,Asian,42.0,,1998
1997,OH,Erie County,rural,Midwest,East North Central,Female,26152.0,6.333333,1997
2004,IN,Monroe County,small/mid,Midwest,East North Central,Other,,,2004
1980,IL,DuPage County,suburban,Midwest,East North Central,Black,5412.0,,1980
2009,TX,San Patricio County,small/mid,South,West South Central,Asian,442.0,,2009
1984,IA,Des Moines County,rural,Midwest,West North Central,Other,153.0,,1984
1980,MO,Saline County,rural,Midwest,West North Central,Native American,,,1980
2009,TN,Lake County,rural,South,East South Central,Female,1798.0,2.0,2009
1998,KS,Edwards County,rural,Midwest,West North Central,Black,0.0,,1998
2005,SD,Clark County,rural,Midwest,West North Central,Male,1198.0,1.251716,2005
1991,WY,Niobrara County,rural,West,Mountain,Asian,0.0,,1991
2003,PA,Susquehanna County,rural,Northeast,Middle Atlantic,Native American,48.0,,2003
1982,IL,Pike County,rural,Midwest,East North Central,Total,11218.0,2.6,1982
2004,TN,Obion County,rural,South,East South Central,Black,2124.0,,2004
1976,SD,Lawrence County,rural,Midwest,West North Central,White,10831.0,,1976
2004,OH,Holmes County,rural,Midwest,East North Central,Other,,,2004
1996,MS,Jones County,rural,South,East South Central,White,30409.0,,1996
1977,PA,Somerset County,rural,Northeast,Middle Atlantic,Female,26205.0,0.0,1977
1974,MI,Muskegon County,small/mid,Midwest,East North Central,Other,578.0,,1974
1985,MN,Murray County,rural,Midwest,West North Central,Latino,,,1985
2012,AR,Franklin County,rural,South,West South Central,Latino,245.0,,2012
1987,AL,Bibb County,suburban,South,East South Central,Male,5100.0,6.0,1987
1989,TX,Rusk County,small/mid,South,West South Central,White,20786.0,,1989
2015,MS,Holmes County,rural,South,East South Central,Female,6232.0,6.0,2015
1995,KS,Sedgwick County,small/mid,Midwest,West North Central,Latino,15305.0,,1995
2016,CA,Sacramento County,urban,West,Pacific,Female,506288.0,,2016
2016,GA,Barrow County,suburban,South,South Atlantic,Female,24848.0,,2016
1984,TX,Cass County,rural,South,West South Central,Native American,,,1984
1976,WV,Fayette County,small/mid,South,South Atlantic,Male,16884.0,19.0,1976
