book,text,line_num
A Study In Scarlet,reason for doing so.,433
A Study In Scarlet,,434
A Study In Scarlet,His ignorance was as remarkable as his knowledge. Of contemporary,435
A Study In Scarlet,"literature, philosophy and politics he appeared to know next to",436
A Study In Scarlet,"nothing. Upon my quoting Thomas Carlyle, he inquired in the naivest",437
A Study In Scarlet,way who he might be and what he had done. My surprise reached a,438
A Study In Scarlet,"climax, however, when I found incidentally that he was ignorant of",439
A Study In Scarlet,the Copernican Theory and of the composition of the Solar System.,440
A Study In Scarlet,That any civilized human being in this nineteenth century should not,441
A Study In Scarlet,be aware that the earth travelled round the sun appeared to be to me,442
A Study In Scarlet,such an extraordinary fact that I could hardly realize it.,443
A Study In Scarlet,,444
A Study In Scarlet,"""You appear to be astonished,"" he said, smiling at my expression of",445
A Study In Scarlet,"surprise. ""Now that I do know it I shall do my best to forget it.""",446
A Study In Scarlet,,447
A Study In Scarlet,"""To forget it!""",448
A Study In Scarlet,,449
A Study In Scarlet,"""You see,"" he explained, ""I consider that a man's brain originally is",450
A Study In Scarlet,"like a little empty attic, and you have to stock it with such",451
A Study In Scarlet,furniture as you choose. A fool takes in all the lumber of every sort,452
A Study In Scarlet,"that he comes across, so that the knowledge which might be useful to",453
A Study In Scarlet,"him gets crowded out, or at best is jumbled up with a lot of other",454
A Study In Scarlet,things so that he has a difficulty in laying his hands upon it. Now,455
A Study In Scarlet,the skilful workman is very careful indeed as to what he takes into,456
A Study In Scarlet,his brain-attic. He will have nothing but the tools which may help,457
A Study In Scarlet,"him in doing his work, but of these he has a large assortment, and",458
A Study In Scarlet,all in the most perfect order. It is a mistake to think that that,459
A Study In Scarlet,little room has elastic walls and can distend to any extent. Depend,460
A Study In Scarlet,upon it there comes a time when for every addition of knowledge you,461
A Study In Scarlet,forget something that you knew before. It is of the highest,462
A Study In Scarlet,"importance, therefore, not to have useless facts elbowing out the",463
A Study In Scarlet,"useful ones.""",464
A Study In Scarlet,,465
A Study In Scarlet,"""But the Solar System!"" I protested.",466
A Study In Scarlet,,467
A Study In Scarlet,"""What the deuce is it to me?"" he interrupted impatiently; ""you say",468
A Study In Scarlet,that we go round the sun. If we went round the moon it would not make,469
A Study In Scarlet,"a pennyworth of difference to me or to my work.""",470
